"program","sex","result"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
