MSOA,Median_HP,Borough,Inner,Area,Political,Pop_Density,Aged_15to64,LoneParent_HH,BAME,Rented,NoWork_Families,Low_BirthWeight,Male_LE
E02000001,485000,City of London,Inner,Central,Other,2624,76.68,3.49,21.37,52.4,0.9,4.2,83.6
E02000002,182250,Barking and Dagenham,Outer,East,Labour,3170,58.73,22.01,35.01,51.7,11.8,10.6,78
E02000003,205500,Barking and Dagenham,Outer,East,Labour,4771,65.82,15.36,45.39,33.2,7,7.8,80.2
E02000004,205000,Barking and Dagenham,Outer,East,Labour,2530,65.82,13.89,19.02,25.8,5.3,5.8,77.9
E02000005,167000,Barking and Dagenham,Outer,East,Labour,7289,64.57,18.63,33.73,40,9.6,7.7,76.8
E02000007,172500,Barking and Dagenham,Outer,East,Labour,5229,62.02,22.55,32.82,58,12.7,6.8,75.7
E02000008,162000,Barking and Dagenham,Outer,East,Labour,8190,63.99,19.8,30.36,52.4,11,7.1,74.5
E02000009,172247.5,Barking and Dagenham,Outer,East,Labour,9227,66.49,20.8,38.82,49.90000000000001,10.6,9,78.1
E02000010,163000,Barking and Dagenham,Outer,East,Labour,7901,64.14,21.29,30.8,52,12.7,9.1,75.5
E02000011,171500,Barking and Dagenham,Outer,East,Labour,3960,64.69,15.6,33.64,31.8,7.6,7.3,76.3
E02000012,260000,Barking and Dagenham,Outer,East,Labour,7731,66.3,11.23,56.11,29.2,5.3,7.4,78.5
E02000013,172250,Barking and Dagenham,Outer,East,Labour,6494,62.5,19.87,31.09,51.7,10.7,7.2,74.5
E02000014,163000,Barking and Dagenham,Outer,East,Labour,7958,63.67,19.88,29.51,54.9,11,8.2,76
E02000015,130000,Barking and Dagenham,Outer,East,Labour,5632,64.99,20.6,36.72,66.5,11.5,7.3,76.4
E02000016,132500,Barking and Dagenham,Outer,East,Labour,9276,70.39,16.33,70.41,75.3,10,6.7,84.1
E02000017,210000,Barking and Dagenham,Outer,East,Labour,9962,70.05,11.07,68.73,41.3,6.4,8,80.4
E02000018,161000,Barking and Dagenham,Outer,East,Labour,6648,63.95,21.56,35.86,59.2,12.8,7.5,78.5
E02000019,165500,Barking and Dagenham,Outer,East,Labour,2796,64.6,19.8,36.12,50.40000000000001,10.3,8.9,78.3
E02000020,215000,Barking and Dagenham,Outer,East,Labour,2833,63.64,18.61,53.64,54.7,9.4,8.5,78.9
E02000021,160000,Barking and Dagenham,Outer,East,Labour,2854,64.37,19.8,42.46,43.5,9.9,7.2,73.3
E02000022,130000,Barking and Dagenham,Outer,East,Labour,11963,63.27,24.93,61.78,80.5,17.1,8.3,74
E02000023,165000,Barking and Dagenham,Outer,East,Labour,3737,63.46,23.24,54.83,68.6,15.2,7.8,75.4
E02006799,177000,Barking and Dagenham,Outer,East,Labour,8796,64.21,19.76,37.89,52.1,10.5,8.1,74.9
E02000024,380000,Barnet,Outer,North,Conservative,2778,64.45,8.05,16.6,23.5,2.1,7.1,80.8
E02000025,307500,Barnet,Outer,North,Conservative,3357,67.76,11.51,21.27,35.2,4.3,8.2,80.3
E02000026,342500,Barnet,Outer,North,Conservative,4401,64.6,8.21,21.42,21.5,3.6,6.8,84.2
E02000027,299975,Barnet,Outer,North,Conservative,5823,64.31,17.95,30.33,44,7.1,7.5,77.5
E02000028,369375,Barnet,Outer,North,Conservative,5953,66.17,11.89,25.14,26.8,4.7,5.6,80.7
E02000029,319000,Barnet,Outer,North,Conservative,5131,66.51,13.49,25.02,34.9,5.9,7.6,80.1
E02000030,675000,Barnet,Outer,North,Conservative,632,62.59,11,24.97,20.2,3.8,10,79.6
E02000031,441500,Barnet,Outer,North,Conservative,3844,62.87,8.31,28.42,30.7,2.6,6.1,81.8
E02000032,437000,Barnet,Outer,North,Conservative,5651,64,8.32,32.29,13.2,2.4,7.5,83.1
E02000033,305000,Barnet,Outer,North,Conservative,4882,67.04,14.89,30.98,29.7,5.9,7.3,80.8
E02000034,275000,Barnet,Outer,North,Conservative,5574,65.98,12.93,29.28,33.6,5.1,8.3,79.9
E02000035,327500,Barnet,Outer,North,Conservative,6276,66.79,8.58,36.07,42.2,4.1,7.7,80.2
E02000036,342500,Barnet,Outer,North,Conservative,6064,64.79,13.77,42.04,32.1,5,6.9,81.6
E02000037,299500,Barnet,Outer,North,Conservative,2315,61.44,13.01,36.51,32.3,5.6,8.1,81.8
E02000038,384000,Barnet,Outer,North,Conservative,6160,69.95,13.02,34.53,34.09999999999999,4.9,6,78.8
E02000039,331250,Barnet,Outer,North,Conservative,3157,64.71,8.85,29.86,25.9,3.1,8.6,84.9
E02000040,402550,Barnet,Outer,North,Conservative,1397,63.71,14.27,37.7,39.5,6.7,6.3,81.9
E02000041,300000,Barnet,Outer,North,Conservative,6784,65.48,12.69,42.81,37.6,4.9,7.9,81.9
E02000042,276500,Barnet,Outer,North,Conservative,9014,69.36,8.64,42.03,44.3,3.6,8.4,79.8
E02000043,527722,Barnet,Outer,North,Conservative,5330,64.5,7.65,39.6,27.6,2.1,6.4,82.6
E02000044,250000,Barnet,Outer,North,Conservative,7388,66.84,19.99,43.9,49.7,8.9,9.1,78.4
E02000045,245500,Barnet,Outer,North,Conservative,6031,70.64,16.89,35.46,46.3,7.1,5.7,78.3
E02000046,365260,Barnet,Outer,North,Conservative,7484,72.19,8.04,37.22,48.3,3.1,7.2,80.9
E02000047,234000,Barnet,Outer,North,Conservative,8090,67.29,19.13,53.94,56.3,9.1,8,76.1
E02000048,365000,Barnet,Outer,North,Conservative,3232,65.08,8.91,36.11,30,3.9,6.8,83.3
E02000049,237500,Barnet,Outer,North,Conservative,11027,65.7,24.41,61.54,75.6,13.8,8.2,76.6
E02000050,289500,Barnet,Outer,North,Conservative,4854,68.5,13.24,37.63,46.7,5.6,7.5,78.8
E02000051,435000,Barnet,Outer,North,Conservative,6086,65.69,7.58,34.3,38.2,3,9.9,82.3
E02000052,382500,Barnet,Outer,North,Conservative,10296,71.47,9.44,26.55,46.59999999999999,3.6,5.8,80
E02000053,261075,Barnet,Outer,North,Conservative,6026,73.73,11.25,59.03,52.7,5.3,9.1,77.6
E02000054,250000,Barnet,Outer,North,Conservative,4901,71.83,9.01,45.96,43.8,4.2,6.3,82.6
E02000055,357500,Barnet,Outer,North,Conservative,7920,69.53,9.05,38.12,51.6,3.2,5.8,78.9
E02000056,960000,Barnet,Outer,North,Conservative,2859,61.89,6.37,20.32,27.3,2.3,5.9,82.9
E02000057,365000,Barnet,Outer,North,Conservative,6924,63.72,7.68,29.58,42.8,2.8,7.4,81.7
E02000058,612500,Barnet,Outer,North,Conservative,5776,62.91,6.97,23.22,36.1,2.7,8.6,82.4
E02000059,246000,Barnet,Outer,North,Conservative,4842,70.12,13.08,57.8,52.40000000000001,5.5,8.2,79.7
E02000060,570000,Barnet,Outer,North,Conservative,9090,59.28,6.35,27.39,48.3,3.4,5.5,80.2
E02000061,889500,Barnet,Outer,North,Conservative,5181,69.38,6.65,33.71,46.4,2.3,6.3,79.6
E02000062,300000,Barnet,Outer,North,Conservative,3532,70.6,17.56,50.63,61,8.5,8.7,75.1
E02000063,320000,Barnet,Outer,North,Conservative,6895,68.63,12.62,47.73,43.9,7.4,6.9,77.4
E02000064,360000,Barnet,Outer,North,Conservative,8102,69.31,13.67,39.15,55.7,7.3,7.6,75.1
E02000065,149000,Bexley,Outer,East,Conservative,2480,67.39,17.85,56.69,47.2,9.2,8,74.4
E02000066,151500,Bexley,Outer,East,Conservative,6147,65.56,19.95,47.09,63,9.2,7,76.9
E02000067,145000,Bexley,Outer,East,Conservative,3881,65.86,17.04,30.42,40.6,7.2,5.1,78
E02000068,156000,Bexley,Outer,East,Conservative,3295,66.23,17.63,34.69,46.9,9.8,8,75.7
E02000069,176000,Bexley,Outer,East,Conservative,4289,63.14,14.19,25.64,27.8,5.2,7.2,78.8
E02000070,227000,Bexley,Outer,East,Conservative,4249,63.78,10.04,17.61,16.5,2.7,5.5,79.6
E02000071,187000,Bexley,Outer,East,Conservative,6277,67.04,15.35,15.11,21.4,5.2,6.2,79.9
E02000072,155500,Bexley,Outer,East,Conservative,2726,64.45,22.34,28.75,57.7,12.3,8.6,74.8
E02000073,250000,Bexley,Outer,East,Conservative,6685,62.9,9.27,16.2,9.7,2.8,6.2,81.5
E02000074,157000,Bexley,Outer,East,Conservative,6880,64.04,17.33,17.86,44.5,7.8,9.5,77.2
E02000075,250000,Bexley,Outer,East,Conservative,5158,61.83,8.86,11.56,10.9,1.9,6.6,81.3
E02000077,235000,Bexley,Outer,East,Conservative,7064,64.52,10.87,17.13,17.8,2.7,5.9,80.1
E02000078,207000,Bexley,Outer,East,Conservative,5213,65.25,9.95,9.37,12.1,2.4,6.2,80.1
E02000079,220000,Bexley,Outer,East,Conservative,4752,62.69,10.74,13.41,20.1,2.5,6.7,78
E02000080,236000,Bexley,Outer,East,Conservative,5534,65.33,11.64,18.5,17.3,3.6,4.3,79.5
E02000081,210000,Bexley,Outer,East,Conservative,3407,62.25,10.98,10.45,22.4,3.3,6.3,80.1
E02000082,237000,Bexley,Outer,East,Conservative,6004,66.18,10.28,12.58,8.6,1.8,5.6,79.9
E02000083,180000,Bexley,Outer,East,Conservative,2685,65.23,12.87,12.12,28.3,4.9,7.9,77.7
E02000084,249995,Bexley,Outer,East,Conservative,4080,64.67,9.22,12.9,12.6,2.2,5.2,83.1
E02000085,221000,Bexley,Outer,East,Conservative,4924,65.72,12.42,9.98,14,2.7,4.3,81.8
E02000086,249475,Bexley,Outer,East,Conservative,4986,66.1,10.04,7.44,9.100000000000001,1.9,5.7,85.2
E02000087,261000,Bexley,Outer,East,Conservative,2044,61.01,7.8,10.33,14.1,1.9,3.2,83.9
E02000088,254975,Bexley,Outer,East,Conservative,3876,63.84,9.18,8.19,10.3,1.7,4,82.2
E02000089,285000,Bexley,Outer,East,Conservative,5739,62.87,8.14,7.61,10.9,1.7,5.9,82.7
E02000090,210000,Bexley,Outer,East,Conservative,4907,64.26,8.76,9.44,26.8,2.8,7.3,76.9
E02000091,235000,Bexley,Outer,East,Conservative,3604,62.51,9.77,10.54,29.6,2.7,6.6,79.6
E02000092,203500,Bexley,Outer,East,Conservative,1105,62.75,16.53,12.59,41.7,7.3,5.4,78.4
E02006785,214000,Bexley,Outer,East,Conservative,4739,63.7,12.74,17.83,25.1,4.1,8.1,79.5
E02000093,319000,Brent,Outer,West,Labour,7897,67.88,11.3,72.06,32.90000000000001,4.8,9.8,82.5
E02000094,319950,Brent,Outer,West,Labour,7561,68.45,13.11,62.53,38.4,5.6,8.8,81.9
E02000095,379000,Brent,Outer,West,Labour,6371,68.21,10.39,72.17,37.8,4.4,8.5,82.2
E02000096,425000,Brent,Outer,West,Labour,4507,65.26,8.1,67.72,22.9,2.1,6.9,83.2
E02000097,310000,Brent,Outer,West,Labour,4812,67.35,11.11,63.88,35.2,5.1,7.3,79.5
E02000098,356800,Brent,Outer,West,Labour,4335,67.45,11.35,67.21,43.59999999999999,4.4,7,81.1
