"year","age","gender","race","region","income","union","dem","educ"
"year1980",70,"male","black","S","lower 1/3","no",1,"HS or less"
"year1980",67,"male","white","NC","middle 1/3","yes",1,"HS or less"
"year1980",47,"female","black","S","lower 1/3","no",1,"HS or less"
"year1980",52,"female","white","W","upper 1/3","yes",0,"College"
"year1980",30,"female","white","NC","upper 1/3","no",1,"HS or less"
"year1980",37,"male","black","NC","upper 1/3","no",1,"College"
"year1980",31,"female","white","NC","middle 1/3","yes",0,"HS or less"
"year1980",79,"female","white","NE","lower 1/3","no",0,"HS or less"
"year1980",26,"female","white","S","middle 1/3","no",1,"College"
"year1980",60,"female","white","NE","lower 1/3","no",1,"HS or less"
"year1980",22,"male","white","S","lower 1/3","no",0,"College"
"year1980",47,"female","white","S","upper 1/3","no",0,"HS or less"
"year1980",20,"female","white","NC","lower 1/3","no",1,"HS or less"
"year1980",49,"male","white","NC","upper 1/3","no",0,"College"
"year1980",60,"male","black","S","lower 1/3","no",1,"HS or less"
"year1980",22,"female","white","W","upper 1/3","no",0,"HS or less"
"year1980",36,"female","white","S","lower 1/3","no",1,"HS or less"
"year1980",46,"female","black","S","middle 1/3","no",1,"College"
"year1980",64,"female","black","NE","middle 1/3","yes",1,"HS or less"
"year1980",71,"female","white","W","upper 1/3","no",0,"HS or less"
"year1980",60,"female","white","S","middle 1/3","yes",1,"HS or less"
"year1980",63,"female","white","NC","middle 1/3","no",0,"HS or less"
"year1980",36,"female","white","NC","upper 1/3","no",1,"College"
"year1980",41,"male","white","NE","upper 1/3","no",0,"HS or less"
"year1980",38,"male","white","NC","middle 1/3","no",0,"College"
"year1980",51,"female","black","S","lower 1/3","no",0,"HS or less"
"year1980",37,"male","white","NE","upper 1/3","yes",1,"College"
"year1980",18,"male","other","S","middle 1/3","no",0,"HS or less"
"year1980",22,"female","black","NC","lower 1/3","no",0,"HS or less"
"year1980",37,"female","white","NC","upper 1/3","no",0,"HS or less"
"year1980",64,"male","white","NC","lower 1/3","no",0,"HS or less"
"year1980",38,"female","white","S","middle 1/3","no",0,"HS or less"
"year1980",91,"male","white","NC","lower 1/3","no",1,"HS or less"
"year1980",37,"female","white","W","upper 1/3","no",1,"College"
"year1980",30,"male","white","NC","middle 1/3","yes",0,"HS or less"
"year1980",35,"female","white","NC","upper 1/3","no",0,"HS or less"
