"","prof_id","score","bty_avg","gender"
"1",1,4.7,5,"female"
"2",1,4.1,5,"female"
"3",1,3.9,5,"female"
"4",1,4.8,5,"female"
"5",2,4.6,3,"male"
"6",2,4.3,3,"male"
"7",2,2.8,3,"male"
"8",3,4.1,3.333,"male"
"9",3,3.4,3.333,"male"
"10",4,4.5,3.167,"female"
"11",4,3.8,3.167,"female"
"12",4,4.5,3.167,"female"
"13",4,4.6,3.167,"female"
"14",4,3.9,3.167,"female"
"15",4,3.9,3.167,"female"
"16",4,4.3,3.167,"female"
"17",4,4.5,3.167,"female"
"18",5,4.8,7.333,"female"
"19",5,4.6,7.333,"female"
"20",5,4.6,7.333,"female"
"21",5,4.9,7.333,"female"
"22",5,4.6,7.333,"female"
"23",5,4.5,7.333,"female"
"24",6,4.4,5.5,"male"
"25",6,4.6,5.5,"male"
"26",6,4.7,5.5,"male"
"27",6,4.5,5.5,"male"
"28",6,4.8,5.5,"male"
"29",6,4.9,5.5,"male"
"30",6,4.5,5.5,"male"
"31",7,4.4,4.167,"female"
"32",7,4.3,4.167,"female"
"33",7,4.1,4.167,"female"
"34",7,4.2,4.167,"female"
"35",7,3.5,4.167,"female"
"36",8,3.4,4,"female"
"37",8,4.5,4,"female"
"38",8,4.4,4,"female"
"39",8,4.4,4,"female"
"40",8,2.5,4,"female"
"41",8,4.3,4,"female"
"42",8,4.5,4,"female"
"43",9,4.8,4.667,"female"
"44",9,4.8,4.667,"female"
"45",9,4.4,4.667,"female"
"46",9,4.7,4.667,"female"
"47",9,4.4,4.667,"female"
"48",9,4.7,4.667,"female"
"49",9,4.5,4.667,"female"
"50",10,4,5.5,"male"
"51",10,4.3,5.5,"male"
"52",10,4.4,5.5,"male"
"53",10,4.5,5.5,"male"
"54",10,5,5.5,"male"
"55",10,4.9,5.5,"male"
"56",10,4.6,5.5,"male"
"57",10,5,5.5,"male"
"58",10,4.7,5.5,"male"
"59",10,5,5.5,"male"
"60",11,3.6,4.833,"male"
"61",11,3.7,4.833,"male"
"62",11,4.3,4.833,"male"
"63",12,4.1,4.333,"male"
"64",12,4.2,4.333,"male"
"65",12,4.7,4.333,"male"
"66",12,4.7,4.333,"male"
"67",12,3.5,4.333,"male"
"68",13,4.1,4.833,"male"
"69",13,4.2,4.833,"male"
"70",13,4,4.833,"male"
"71",13,4,4.833,"male"
"72",13,3.9,4.833,"male"
"73",13,4.4,4.833,"male"
"74",13,3.8,4.833,"male"
"75",14,3.5,4,"male"
"76",14,4.2,4,"male"
"77",14,3.5,4,"male"
"78",14,3.6,4,"male"
"79",15,2.9,5.5,"female"
"80",15,3.3,5.5,"female"
"81",15,3.3,5.5,"female"
"82",15,3.2,5.5,"female"
"83",16,4.6,4.167,"male"
"84",16,4.2,4.167,"male"
"85",16,4.3,4.167,"male"
"86",16,4.4,4.167,"male"
"87",16,4.1,4.167,"male"
"88",16,4.6,4.167,"male"
"89",17,4.4,2.5,"female"
"90",17,4.8,2.5,"female"
"91",17,4.3,2.5,"female"
"92",17,3.6,2.5,"female"
"93",17,4.3,2.5,"female"
"94",18,4,4.333,"male"
"95",18,4.2,4.333,"male"
"96",18,4.1,4.333,"male"
"97",18,4.1,4.333,"male"
"98",18,4.4,4.333,"male"
"99",18,4.3,4.333,"male"
"100",18,4.4,4.333,"male"
"101",18,4.4,4.333,"male"
"102",19,4.9,4.333,"female"
"103",19,5,4.333,"female"
"104",19,4.4,4.333,"female"
"105",19,4.8,4.333,"female"
"106",19,4.9,4.333,"female"
"107",19,4.3,4.333,"female"
"108",19,5,4.333,"female"
"109",19,4.7,4.333,"female"
"110",19,4.5,4.333,"female"
"111",20,3.5,4.333,"female"
"112",20,3.9,4.333,"female"
"113",20,4,4.333,"female"
"114",20,4,4.333,"female"
"115",20,3.7,4.333,"female"
"116",20,3.4,4.333,"female"
"117",20,3.3,4.333,"female"
"118",20,3.8,4.333,"female"
"119",20,3.9,4.333,"female"
"120",20,3.4,4.333,"female"
"121",21,3.7,4.833,"female"
"122",21,4.1,4.833,"female"
"123",21,3.7,4.833,"female"
"124",21,3.5,4.833,"female"
"125",21,3.5,4.833,"female"
"126",21,4.4,4.833,"female"
"127",22,3.4,2.833,"female"
"128",23,4.3,3,"male"
"129",23,3.7,3,"male"
"130",23,4.7,3,"male"
"131",23,3.9,3,"male"
"132",23,3.6,3,"male"
"133",24,4.5,4.167,"male"
"134",24,4.5,4.167,"male"
"135",24,4.8,4.167,"male"
"136",24,4.8,4.167,"male"
"137",24,4.7,4.167,"male"
"138",24,4.5,4.167,"male"
"139",24,4.3,4.167,"male"
"140",25,4.8,7.833,"female"
"141",25,4.1,7.833,"female"
"142",26,4.4,3.833,"male"
"143",26,4.3,3.833,"male"
"144",26,3.6,3.833,"male"
"145",26,4.5,3.833,"male"
"146",26,4.3,3.833,"male"
"147",27,4.4,4.833,"male"
"148",27,4.7,4.833,"male"
"149",27,4.8,4.833,"male"
"150",27,3.5,4.833,"male"
"151",27,3.8,4.833,"male"
"152",27,3.6,4.833,"male"
"153",27,4.2,4.833,"male"
"154",28,3.6,3,"male"
"155",28,4.4,3,"male"
"156",28,3.7,3,"male"
"157",28,4.3,3,"male"
"158",29,4.6,3,"male"
"159",29,4.6,3,"male"
"160",29,4.1,3,"male"
"161",29,3.6,3,"male"
"162",30,2.3,5.167,"female"
"163",31,4.3,4.333,"male"
"164",31,4.4,4.333,"male"
"165",31,3.6,4.333,"male"
"166",31,4.4,4.333,"male"
"167",31,3.9,4.333,"male"
"168",31,3.8,4.333,"male"
"169",31,3.4,4.333,"male"
"170",32,4.9,2.667,"male"
"171",32,4.1,2.667,"male"
"172",32,3.2,2.667,"male"
"173",33,4.2,5.5,"male"
"174",33,3.9,5.5,"male"
"175",33,4.9,5.5,"male"
"176",33,4.7,5.5,"male"
"177",33,4.4,5.5,"male"
"178",34,4.2,4.333,"female"
"179",34,4,4.333,"female"
"180",34,4.4,4.333,"female"
"181",34,3.9,4.333,"female"
"182",34,4.4,4.333,"female"
"183",34,3,4.333,"female"
"184",34,3.5,4.333,"female"
"185",34,2.8,4.333,"female"
"186",34,4.6,4.333,"female"
"187",34,4.3,4.333,"female"
"188",34,3.4,4.333,"female"
"189",34,3,4.333,"female"
"190",34,4.2,4.333,"female"
"191",35,4.3,2.333,"male"
"192",35,4.1,2.333,"male"
"193",35,4.6,2.333,"male"
"194",36,3.9,6.5,"female"
"195",36,3.5,6.5,"female"
"196",36,4,6.5,"female"
"197",36,4,6.5,"female"
"198",37,3.9,2.333,"male"
"199",37,3.3,2.333,"male"
"200",37,4,2.333,"male"
"201",37,3.8,2.333,"male"
"202",37,4.2,2.333,"male"
"203",37,4,2.333,"male"
"204",37,3.8,2.333,"male"
"205",37,3.3,2.333,"male"
"206",23,4.1,3,"male"
"207",23,4.7,3,"male"
"208",23,4.4,3,"male"
"209",38,4.8,3.667,"male"
"210",38,4.8,3.667,"male"
"211",38,4.6,3.667,"male"
"212",38,4.6,3.667,"male"
"213",38,4.8,3.667,"male"
"214",38,4.4,3.667,"male"
"215",38,4.7,3.667,"male"
"216",38,4.7,3.667,"male"
"217",39,3.3,6.167,"male"
"218",40,4.4,4,"male"
"219",40,4.3,4,"male"
"220",40,4.9,4,"male"
"221",40,4.4,4,"male"
"222",40,4.7,4,"male"
"223",41,4.3,4.833,"male"
"224",41,4.8,4.833,"male"
"225",41,4.5,4.833,"male"
"226",41,4.7,4.833,"male"
"227",42,3.3,8.167,"female"
"228",42,4.7,8.167,"female"
"229",42,4.6,8.167,"female"
"230",42,3.6,8.167,"female"
"231",43,4,6.5,"male"
"232",43,4.1,6.5,"male"
"233",43,4,6.5,"male"
"234",44,4.5,4.833,"male"
"235",44,4.6,4.833,"male"
"236",44,4.8,4.833,"male"
"237",44,4.6,4.833,"male"
"238",45,4.9,7,"male"
"239",45,3.1,7,"male"
"240",45,3.7,7,"male"
"241",46,3.7,4.667,"female"
"242",47,3.9,3.833,"female"
"243",47,3.9,3.833,"female"
"244",47,3.2,3.833,"female"
"245",48,4.4,3.167,"female"
"246",48,4.2,3.167,"female"
"247",48,4.7,3.167,"female"
"248",48,3.9,3.167,"female"
"249",48,3.6,3.167,"female"
"250",48,3.4,3.167,"female"
"251",48,4.4,3.167,"female"
"252",49,4.4,3.167,"male"
"253",49,4.1,3.167,"male"
"254",49,3.6,3.167,"male"
"255",49,3.5,3.167,"male"
"256",49,4.1,3.167,"male"
"257",49,3.8,3.167,"male"
"258",49,4,3.167,"male"
"259",49,4.8,3.167,"male"
"260",49,4.2,3.167,"male"
"261",49,4.6,3.167,"male"
"262",49,4.3,3.167,"male"
