"X","D","S","y","status"
1,9,0.024212,0,"survived"
2,11,0.0305947,0,"survived"
3,9,0.0305947,0,"survived"
4,9,0.0341815,0,"survived"
5,5,0.0341815,0,"survived"
6,8,0.0341815,0,"survived"
7,8,0.0341815,0,"survived"
8,6,0.0341815,0,"survived"
9,8,0.0341815,0,"survived"
10,5,0.0341815,0,"survived"
11,22,0.0345653,0,"survived"
12,6,0.0461334,0,"survived"
13,8,0.0514511,0,"survived"
14,8,0.054777,0,"survived"
15,9,0.054777,0,"survived"
16,10,0.054777,0,"survived"
17,7,0.0552361,0,"survived"
18,14,0.0575282,0,"survived"
19,15,0.0575282,0,"survived"
20,17,0.0575282,0,"survived"
21,12,0.0575282,0,"survived"
22,8,0.0687957,0,"survived"
23,14,0.0693424,0,"survived"
24,12,0.0693424,0,"survived"
25,18,0.071072,0,"survived"
26,13,0.071072,0,"survived"
27,8,0.0726807,0,"survived"
28,7,0.0726807,0,"survived"
29,6,0.0730598,0,"survived"
30,5,0.0730598,0,"survived"
31,9,0.0730598,0,"survived"
32,14,0.0773118,0,"survived"
33,11,0.0805133,0,"survived"
34,7,0.0818451,0,"survived"
35,6,0.0818451,0,"survived"
36,5,0.0846147,0,"survived"
37,6,0.0846147,0,"survived"
38,5,0.0846147,0,"survived"
39,5,0.0846147,0,"survived"
40,10,0.084997,0,"survived"
41,5,0.0879988,0,"survived"
42,6,0.0879988,0,"survived"
43,6,0.0879988,0,"survived"
44,5,0.0879988,0,"survived"
45,5,0.0879988,0,"survived"
46,8,0.0879988,0,"survived"
47,16,0.089435,0,"survived"
48,10,0.089435,0,"survived"
49,12,0.089435,1,"died"
50,5,0.0894688,0,"survived"
51,9,0.0914889,0,"survived"
52,12,0.0914889,0,"survived"
53,5,0.0914889,0,"survived"
54,10,0.0914889,0,"survived"
55,7,0.0914889,0,"survived"
56,5,0.0943459,0,"survived"
57,7,0.0943459,0,"survived"
58,5,0.0943459,0,"survived"
59,14,0.0958845,0,"survived"
60,5,0.0965822,0,"survived"
61,17,0.0994145,0,"survived"
62,5,0.0995897,0,"survived"
63,11,0.0995897,0,"survived"
64,6,0.0998312,0,"survived"
65,7,0.0998312,0,"survived"
66,7,0.0998312,0,"survived"
67,13,0.10254,1,"died"
68,25,0.103689,0,"survived"
69,7,0.105993,0,"survived"
70,8,0.105993,0,"survived"
71,14,0.107644,0,"survived"
72,19,0.107769,0,"survived"
73,17,0.107769,0,"survived"
74,14,0.114878,0,"survived"
75,13,0.114878,1,"died"
76,6,0.114878,0,"survived"
77,6,0.115634,0,"survived"
78,6,0.115634,0,"survived"
79,8,0.118361,0,"survived"
80,22,0.120054,1,"died"
81,6,0.120534,0,"survived"
82,9,0.120534,0,"survived"
83,11,0.120629,0,"survived"
84,6,0.128477,0,"survived"
85,7,0.12938,0,"survived"
86,5,0.12938,0,"survived"
87,7,0.12938,0,"survived"
88,7,0.13163,0,"survived"
89,11,0.131718,0,"survived"
90,11,0.132051,0,"survived"
91,13,0.132093,0,"survived"
92,10,0.132585,0,"survived"
93,10,0.132585,0,"survived"
94,7,0.135751,1,"died"
95,9,0.135751,1,"died"
96,5,0.138033,0,"survived"
97,5,0.138033,0,"survived"
98,5,0.138033,0,"survived"
99,6,0.144217,0,"survived"
100,6,0.145446,0,"survived"
101,9,0.145446,0,"survived"
102,12,0.146615,1,"died"
103,8,0.146615,1,"died"
104,14,0.148025,0,"survived"
105,11,0.148025,0,"survived"
106,13,0.148025,0,"survived"
107,9,0.148025,0,"survived"
108,6,0.149973,0,"survived"
109,5,0.149973,0,"survived"
110,9,0.152714,0,"survived"
111,6,0.152714,0,"survived"
112,5,0.163796,0,"survived"
113,14,0.163796,0,"survived"
114,5,0.163796,0,"survived"
115,10,0.164513,0,"survived"
116,10,0.164513,0,"survived"
117,16,0.173383,0,"survived"
118,7,0.173383,0,"survived"
119,10,0.173383,0,"survived"
120,8,0.174111,1,"died"
121,8,0.174111,1,"died"
122,7,0.174111,1,"died"
123,10,0.174111,1,"died"
124,6,0.174111,0,"survived"
125,9,0.174869,0,"survived"
126,7,0.176954,0,"survived"
127,5,0.18105,1,"died"
128,5,0.18105,0,"survived"
129,7,0.18105,1,"died"
130,5,0.18105,0,"survived"
131,6,0.182465,0,"survived"
132,5,0.182465,0,"survived"
133,5,0.182465,0,"survived"
134,5,0.182465,0,"survived"
135,7,0.182465,0,"survived"
136,6,0.183632,0,"survived"
137,6,0.183632,0,"survived"
138,6,0.183632,0,"survived"
139,7,0.184542,0,"survived"
140,6,0.184542,0,"survived"
141,5,0.191521,0,"survived"
142,12,0.192293,0,"survived"
143,7,0.192509,0,"survived"
144,14,0.197618,0,"survived"
145,8,0.197618,0,"survived"
146,10,0.197618,0,"survived"
147,16,0.197618,0,"survived"
148,11,0.197618,0,"survived"
149,14,0.198293,1,"died"
150,14,0.198293,0,"survived"
151,10,0.198293,1,"died"
152,10,0.199172,0,"survived"
153,21,0.20332,1,"died"
154,8,0.204132,0,"survived"
155,10,0.206243,0,"survived"
156,6,0.207769,0,"survived"
157,6,0.207769,0,"survived"
158,9,0.208116,0,"survived"
159,9,0.208116,0,"survived"
160,7,0.210034,1,"died"
161,7,0.210034,1,"died"
162,9,0.214047,0,"survived"
163,8,0.214047,0,"survived"
164,7,0.214047,0,"survived"
165,7,0.214931,0,"survived"
166,7,0.214931,0,"survived"
167,5,0.215521,0,"survived"
168,7,0.215521,0,"survived"
169,5,0.215521,1,"died"
170,5,0.215521,0,"survived"
171,6,0.215521,0,"survived"
172,5,0.215521,0,"survived"
173,11,0.215521,0,"survived"
174,5,0.215521,0,"survived"
175,7,0.215975,0,"survived"
176,8,0.215975,0,"survived"
177,10,0.215975,0,"survived"
178,5,0.216023,0,"survived"
179,7,0.219577,1,"died"
180,5,0.219577,1,"died"
181,6,0.219577,1,"died"
182,8,0.219577,0,"survived"
183,5,0.219577,0,"survived"
