Alabama	10,338	19	1004622	16,641
Alaska	1,227	0	162,955	943
Arizona	14,971	60	1,524,363	24,992
Arkansas	7,034	16	632,743	9,372
California	94,013	88	6,188,418	76,405
Colorado	10,562	16	1,062,529	10,528
Connecticut	9,196	23	619,185	9,442
Delaware	3,003	13	213,993	2,377
District-of-Columbia	1,901	2	118,802	1,240
Florida	56,035	28	4,878,524	62,819
Georgia	15,795	40	1,603,820	31,801
Hawaii	3,924	2	153,540	1,110
Idaho	1,445	9	334,085	4,260
Illinois	32,504	110	2,522,994	32,187
Indiana	13,451	105	1,397,632	20,035
Iowa	4,291	26	626,336	8,201
Kansas	7,448	11	601,859	7,141
Kentucky	8,226	24	952,956	12,455
Louisiana	12,569	12	967,533	15,116
Maine	998	5	156,532	1,623
Maryland	10,340	52	861,349	12,415
Massachusetts	21,675	53	1,287,109	20,835
Michigan	18,852	107	1,940,708	30,412
Minnesota	9,412	30	1,115,198	10,887
Mississippi	5,153	8	608,768	10,563
Missouri	11,625	39	1,135,862	16,576
Montana	1,082	3	208,132	2,933
Nebraska	2,656	11	371,654	3,495
Nevada	5,368	13	558,529	8,584
New-Hampshire	3,042	2	229,373	2,032
New-Jersey	29,097	75	1,915,417	29,737
New-Mexico	3,785	20	388,125	6,073
New-York	82,324	161	4,298,809	60,907
North-Carolina	23,870	31	1,930,710	19,763
North-Dakota	2,021	4	187,528	2,041
Ohio	19,164	108	2,246,974	30,435
Oklahoma	6,287	116	775,169	12,666
Oregon	7,613	18	494,945	5,845
Pennsylvania	28,684	141	2,348,276	38,103
Rhode-Island	4,530	5	284,907	3,144
South-Carolina	13,763	19	1,114,781	14,848
South-Dakota	1,804	3	197,912	2,534
Tennessee	11,074	20	1,540,515	21,095
Texas	51,862	57	5,197,935	75,516
Utah	8,937	11	726,216	3,936
Vermont	2,505	2	81,987	490
Virginia	18,338	17	1,315,256	15,750
Washington	15,735	27	1,009,187	10,103
West-Virginia	3,515	15	367,217	5,481
Wisconsin	13,834	34	1,252,885	11,559
Wyoming	806	2	123,743	1,588
