"","company_location","review_date","country_of_bean_origin","cocoa_percent","no_ingredients","rating"
"1","U.S.A.",2019,"Tanzania",76,3,3.25
"2","U.S.A.",2019,"Dominican Republic",76,3,3.5
"3","U.S.A.",2019,"Madagascar",76,3,3.75
"4","U.S.A.",2021,"Fiji",68,3,3
"5","U.S.A.",2021,"Venezuela",72,3,3
"6","U.S.A.",2021,"Uganda",80,3,3.25
"7","U.S.A.",2021,"India",68,3,3.5
"8","France",2012,"Bolivia",70,4,3.5
"9","France",2012,"Peru",63,4,3.75
"10","France",2013,"Panama",70,4,2.75
"11","France",2013,"Colombia",70,4,2.75
"12","France",2013,"Madagascar",70,4,3
"13","France",2013,"Burma",70,4,3
"14","France",2013,"Brazil",70,4,3.25
"15","France",2013,"Papua New Guinea",70,4,3.25
"16","France",2013,"Peru",70,4,3.25
"17","France",2013,"Peru",70,4,3.5
"18","France",2013,"Ecuador",70,4,3.75
"19","France",2013,"Venezuela",70,4,4
"20","France",2013,"Peru",63,3,4
"21","France",2014,"Venezuela",70,4,2.75
"22","France",2014,"Cuba",70,4,3.5
"23","France",2014,"Venezuela",70,4,3.5
"24","France",2014,"Venezuela",70,4,3.75
"25","France",2014,"Peru",70,4,4
"26","France",2015,"Togo",70,4,2.75
"27","France",2015,"Togo",70,4,3
"28","France",2015,"Togo",70,4,3.5
"29","France",2015,"Peru",70,4,3.5
"30","France",2016,"Sao Tome",63,4,3.75
"31","France",2018,"Venezuela",70,4,3.5
"32","France",2018,"Peru",63,4,3.75
"33","France",2021,"Mexico",70,4,4
"34","U.S.A.",2015,"Peru",70,2,3.75
"35","U.S.A.",2015,"Peru",70,2,3.75
"36","U.S.A.",2020,"Mexico",74,2,3.25
"37","U.S.A.",2020,"Peru",70,2,3.5
"38","Fiji",2011,"Fiji",60,3,2.75
"39","Fiji",2011,"Fiji",80,3,3.25
"40","Fiji",2011,"Fiji",88,3,3.5
"41","Fiji",2011,"Fiji",72,3,3.5
"42","Vanuatu",2019,"Vanuatu",70,2,2.5
"43","Vanuatu",2019,"Vanuatu",70,2,2.75
"44","Vanuatu",2019,"Vanuatu",70,2,2.75
"45","Vanuatu",2019,"Vanuatu",70,2,3
"46","Ecuador",2009,"Ecuador",55,4,2.75
"47","Ecuador",2009,"Ecuador",70,4,3
"48","Mexico",2009,"Mexico",70,3,3
"49","U.K.",2010,"Madagascar",75,4,2.75
"50","U.K.",2010,"Brazil",75,4,2.75
"51","U.K.",2011,"Indonesia",75,4,3.75
"52","France",2013,"Venezuela",75,5,2.5
"53","France",2013,"Peru",75,5,2.5
"54","France",2014,"Trinidad",65,6,2.75
"55","France",2014,"Vietnam",75,5,2.75
"56","France",2014,"Madagascar",75,5,3
"57","France",2017,"Mexico",75,6,3.5
"58","Netherlands",2017,"Ecuador",70,3,3.5
"59","Netherlands",2017,"Nicaragua",70,3,3.5
"60","Netherlands",2017,"Tanzania",70,3,3.5
"61","Netherlands",2017,"Vietnam",70,3,3.5
"62","U.S.A.",2013,"Venezuela",60,4,2.5
"63","U.S.A.",2013,"Dominican Republic",60,4,3
"64","U.S.A.",2013,"Bolivia",60,4,3
"65","U.S.A.",2013,"Bolivia",80,4,3.25
"66","U.S.A.",2013,"Peru",60,4,3.25
"67","U.S.A.",2016,"Bolivia",60,3,2.5
"68","U.S.A.",2016,"Peru",60,3,2.5
