Acacia,Bark,Habitat,Shrubs,Stags,Stumps,y
32,30,10,7,13,1,3
5,13,3,6,16,0,2
9,27,3,8,7,0,1
17,17,9,7,15,0,2
21,12,9,6,17,0,3
32,7,11,4,17,0,2
17,11,9,7,10,0,3
18,5,9,14,21,0,2
1,14,4,6,8,0,0
9,10,2,9,5,0,0
9,4,3,12,7,1,1
10,4,7,17,6,0,1
12,12,2,9,5,0,0
1,15,8,10,7,0,4
26,9,2,5,5,0,2
17,14,8,10,11,0,3
8,18,2,12,7,0,1
24,9,10,9,12,0,3
20,8,9,5,12,0,3
14,13,10,9,5,0,1
22,6,11,2,17,0,2
24,10,9,4,9,1,2
1,16,2,4,11,0,2
17,17,3,6,10,0,3
21,17,9,4,8,0,4
6,15,3,5,11,0,2
2,19,1,6,16,0,1
34,5,10,3,6,0,1
4,23,11,7,8,0,2
5,12,3,2,11,0,3
18,12,10,6,12,0,3
14,18,8,4,9,0,3
14,10,8,6,9,0,2
4,24,5,22,4,1,3
13,10,9,6,15,0,4
14,6,5,4,6,0,0
21,7,10,5,9,0,2
16,8,9,4,15,0,0
16,10,7,3,12,0,2
12,8,7,7,3,0,1
12,8,4,12,2,0,0
2,6,2,12,2,1,0
28,9,9,6,8,0,3
16,10,3,6,3,0,0
16,6,8,4,8,0,2
24,6,6,6,8,0,2
18,12,4,11,2,0,1
14,10,4,16,7,0,2
10,6,2,9,9,0,1
5,9,4,6,7,0,1
17,8,8,10,7,0,2
3,6,2,8,6,0,1
23,10,8,9,7,0,1
18,4,2,4,1,0,0
13,7,2,1,1,0,1
12,8,5,12,3,0,0
4,11,2,12,1,1,0
5,16,3,11,2,1,1
8,9,3,9,4,0,3
1,7,3,7,3,0,1
4,5,3,5,3,0,1
40,8,8,3,7,0,2
12,8,6,6,4,0,1
24,7,7,3,5,0,2
29,7,5,2,4,0,3
20,11,8,9,5,0,1
18,7,7,2,6,0,0
25,8,6,2,3,0,2
21,6,7,1,4,0,1
21,5,9,3,5,0,2
6,6,5,8,5,0,1
4,8,4,6,3,0,1
20,9,4,4,3,0,1
20,7,8,1,11,0,2
20,15,8,8,17,0,5
21,8,9,4,11,1,1
17,13,7,7,5,0,1
6,5,4,1,4,0,1
4,8,3,5,3,0,1
13,10,4,9,3,0,1
12,9,5,5,3,0,0
4,9,4,6,3,0,1
18,5,5,2,4,0,1
18,15,5,7,2,0,1
17,13,8,5,7,1,0
8,19,6,9,9,0,0
1,6,4,5,3,0,0
1,7,3,3,5,0,2
5,6,7,8,13,0,3
4,6,7,8,14,0,0
22,8,8,2,4,0,2
21,7,10,3,15,0,4
8,6,5,8,3,0,2
25,10,7,2,5,0,2
22,10,4,6,1,0,0
16,6,4,1,3,0,1
14,6,6,3,4,0,0
20,4,8,2,15,0,2
2,7,5,2,30,0,2
17,3,4,1,3,0,0
1,1,2,15,5,0,0
26,7,7,1,7,0,3
17,10,6,9,4,0,1
25,7,6,4,9,0,2
14,6,6,4,5,0,1
1,6,3,5,8,0,0
1,19,5,16,21,0,3
1,4,4,1,5,0,1
2,4,5,3,12,0,0
8,4,3,3,6,0,2
2,4,3,1,2,0,1
10,6,5,2,3,0,0
8,8,7,2,28,0,2
18,17,9,10,25,0,5
21,11,7,6,10,0,2
6,14,7,11,19,0,1
16,6,6,4,4,0,2
14,5,8,3,21,0,1
24,9,11,3,26,0,4
24,7,8,1,5,0,2
6,5,5,12,5,0,0
9,16,9,13,31,0,4
5,10,9,11,25,0,5
5,6,6,8,9,0,3
17,8,7,2,5,1,0
1,4,5,4,7,0,1
10,5,6,3,6,0,0
6,7,6,4,4,0,2
5,5,6,2,6,0,0
20,7,7,2,3,0,2
1,6,3,8,4,0,0
20,7,7,4,6,0,0
5,6,5,7,8,0,2
18,6,7,3,5,0,0
9,4,5,2,6,0,0
8,5,7,4,5,0,1
5,8,6,7,5,0,0
2,9,2,12,2,0,0
1,6,4,10,5,0,3
4,5,7,2,24,0,0
16,5,8,2,26,0,3
14,11,9,7,32,0,3
24,5,3,6,1,0,1
13,4,8,9,9,1,2
1,6,3,7,5,0,0
1,3,2,3,5,0,0
1,1,3,6,2,1,1
18,7,7,5,4,0,2
26,6,4,5,2,1,1
17,5,3,6,2,0,0
1,7,3,5,5,0,0
