"friends","gpa","shoes","siblings","exercise","tv","sex","major"
850,3,20,7,6,0,"female","science"
450,3.44,10,1,6,4,"female","non-science"
844,3.244,10,1,0,2,"female","non-science"
950,3.9,7,0,14,6,"male","non-science"
330,3.55,14,1,5,5,"female","non-science"
2000,3.65,8,2,15,4,"male","science"
347,3.3,30,1,1,1,"female","non-science"
642,3.5,10,1,5,0,"female","science"
700,3.7,3,1,0,0,"female","non-science"
700,3.7,3,1,0,0,"female","non-science"
200,3.75,9,1,6,0,"female","science"
800,3.3,4,2,15,0,"female","science"
600,3.8,15,1,10,2,"female","non-science"
600,3.78,19,0,3,4,"female","science"
900,3,8,3,15,2,"male","science"
400,3.3,4,2,2,10,"male","non-science"
70,3.866,10,0,2,1,"female","non-science"
920,3.6,7,0,2,2,"female","non-science"
1315,3.6,4,4,10,1,"male","science"
535,3.84,10,3,0,0,"female","non-science"
450,3.3,9,2,3,3,"female","non-science"
367,3.8,17,0,8,1,"female","non-science"
300,3,6,1,6,7,"male","science"
138,4,8,1,5,0,"female","science"
846,3.67,10,3,6,4,"male","science"
300,3.47,8,2,12,0,"female","non-science"
300,3.3,10,1,12,3,"male","science"
408,3.3,3,1,8,10,"male","non-science"
100,3.8,2,0,4,0,"male","non-science"
652,2.83,8,1,15,15,"male","science"
700,3.22,6,2,15,10,"male","non-science"
1300,3,15,1,14,5,"female","non-science"
900,3.2,9,2,5,2,"male","non-science"
900,3.2,11,1,6,3,"male","non-science"
900,3.5,6,1,5,3,"male","science"
1031,3.45,5,2,8,4,"male","science"
900,3.33,10,2,18,7,"female","non-science"
790,3.2,15,4,2,0,"female","non-science"
1300,3.3,11,3,0,0,"female","non-science"
345,3.45,6,1,4,0,"male","science"
200,3.5,3,1,10,3,"male","non-science"
770,3,15,3,5,3,"female","non-science"
110,4,5,1,0,3,"female","non-science"
200,4,12,1,2,2,"female","science"
240,3.8,10,2,3,3,"female","non-science"
800,3.66,20,1,10,8,"male","non-science"
650,3.94,12,2,15,3,"female","science"
40,3.9,6,0,2,0,"female","non-science"
600,3.18,8,3,9,1,"male","non-science"
800,3,41,2,16,0,"female","non-science"
1500,3.58,7,0,4,3,"female","non-science"
1200,3.7,15,2,12,6,"female","science"
3000,3.35,49,2,14,5,"female","non-science"
2229,3.43,9,2,6,2,"male","non-science"
900,3.2,10,1,20,9,"male","science"
150,3.13,20,2,3,2,"female","science"
350,3,3,0,8,3,"male","non-science"
298,3.78,4,2,3,2,"male","science"
800,3.2,15,1,10,10,"female","science"
1100,3.5,14,1,4,6,"female","science"
878,3.79,15,1,4,20,"female","non-science"
418,3.78,4,1,3,0,"male","science"
450,3.2,12,1,3,4,"female","non-science"
1058,3,20,1,3,3,"female","non-science"
600,4,14,2,12,2,"female","science"
900,3.32,7,1,6,6,"male","non-science"
